uniprot,uniprotname,entrezid
Q76MJ5,ERN2,10595
Q13546,RIPK1,8737
P33981,TTK,7272
Q8IZE3,SCYL3,57147
Q9Y616,IRAK3,11213
P00540,MOS,4342
Q8TEA7,TBCK,93627
P43250,GRK6,2870
P49760,CLK2,1196
Q8TDR2,STK35,140901
O15530,PDPK1,5170
P32298,GRK4,2868
O43318,MAP3K7,6885
Q9HBH9,MKNK2,2872
Q9BUB5,MKNK1,8569
P35626,GRK3,157
Q7Z695,ADCK2,90956
Q8NCB2,CAMKV,79012
Q86SG6,NEK8,284086
O95835,LATS1,9113
Q9UL54,TAOK2,9344
Q6XUX3,DSTYK,25778
Q56UN5,MAP3K19,80122
Q9H2G2,SLK,9748
P25098,GRK2,156
Q9P289,STK26,51765
P36897,TGFBR1,7046
P36896,ACVR1B,91
P49759,CLK1,1195
Q8N752,CSNK1A1L,122011
Q9HAZ1,CLK4,57396
P34947,GRK5,2869
P49761,CLK3,1198
O75962,TRIO,7204
O15075,DCLK1,9201
Q5TCY1,TTBK1,84630
Q96RG2,PASK,23178
Q5VST9,OBSCN,84033
Q6IQ55,TTBK2,146057
Q15772,SPEG,10290
Q9UPE1,SRPK3,26576
P51957,NEK4,6787
Q96PY6,NEK1,4750
P80192,MAP3K9,4293
Q38SD2,LRRK1,79705
P15735,PHKG2,5261
Q15139,PRKD1,5587
P25092,GUCY2C,2984
O00311,CDC7,8317
Q9NZJ5,EIF2AK3,9451
O94806,PRKD3,23683
Q9BZL6,PRKD2,25865
Q8WZ42,TTN,7273
P27037,ACVR2A,92
Q13705,ACVR2B,93
O14578,CIT,11113
Q9Y478,PRKAB1,5564
Q14680,MELK,9833
Q96L34,MARK4,57787
Q8NEV4,MYO3A,53904
Q8TD19,NEK9,91754
Q8IVH8,MAP4K3,8491
Q9Y4K4,MAP4K5,11183
Q9NR20,DYRK4,8798
Q6SA08,TSSK4,283629
P51955,NEK2,4751
P57058,HUNK,30811
Q6P3R8,NEK5,341676
Q96KB5,PBK,55872
P51956,NEK3,4752
Q8NG66,NEK11,79858
Q9Y2K2,SIK3,23387
Q8IY84,NIM1K,167359
P78362,SRPK2,6733
O75716,STK16,8576
Q13233,MAP3K1,4214
P57078,RIPK4,54101
Q3MIX3,ADCK5,203054
Q96SB4,SRPK1,6732
P13861,PRKAR2A,5576
Q86V86,PIM3,415116
O60229,KALRN,8997
Q9H4A3,WNK1,65125
Q96RU7,TRIB3,57761
Q8N165,PDIK1L,149420
Q8TDX7,NEK7,140609
Q9C0K7,STRADB,55437
Q9H792,PEAK1,79834
Q12851,MAP4K2,5871
P37173,TGFBR2,7048
Q8NE28,STKLD1,169436
Q16816,PHKG1,5260
